,sentence,word,sym,sem,sns
0, p79/d0885,Brad~Pitt,brad~pitt,PER,male.n.02
1, p79/d0885,is,be,ENS,be.v.08
2, p79/d0885,an,an,DIS,O
3, p79/d0885,actor,actor,ROL,actor.n.01
4, p79/d0885,.,.,NIL,O
5, p79/d2843,Tom,tom,PER,male.n.02
6, p79/d2843,was,be,PST,O
7, p79/d2843,stabbed,stab,EXS,stab.v.01
8, p79/d2843,.,.,NIL,O
9, p17/d1712,He,male,PRO,male.n.02
10, p17/d1712,was,be,PST,O
11, p17/d1712,standing,stand,EXG,stand.v.01
12, p17/d1712,behind,behind,REL,O
13, p17/d1712,the,the,DEF,O
14, p17/d1712,door,door,CON,door.n.01
15, p17/d1712,.,.,NIL,O
16, p62/d2651,Candles,candle,CON,candle.n.01
17, p62/d2651,will,will,FUT,O
18, p62/d2651,be,be,NIL,O
19, p62/d2651,provided,provide,EXS,provide.v.02
20, p62/d2651,.,.,NIL,O
21, p29/d2007,The,the,DEF,O
22, p29/d2007,neighbor,neighbor,ROL,neighbor.n.01
23, p29/d2007,did,do,PST,O
24, p29/d2007,n't,not,NOT,O
25, p29/d2007,see,see,EXS,see.v.03
26, p29/d2007,anything,entity,DIS,entity.n.01
27, p29/d2007,.,.,NIL,O
28, p86/d2900,I,speaker,PRO,O
29, p86/d2900,paid,pay,EPS,pay.v.01
30, p86/d2900,R$,real,UOM,real.n.02
31, p86/d2900,2600.00,2600,QUC,O
32, p86/d2900,for,for,REL,O
33, p86/d2900,these,entity,PRX,O
34, p86/d2900,speakers,speaker,CON,speaker.n.02
35, p86/d2900,.,.,NIL,O
36, p05/d1897,A,a,AND,O
37, p05/d1897,cobbler,cobbler,ROL,cobbler.n.01
38, p05/d1897,is,be,ENS,be.v.06
39, p05/d1897,also~known~as,also~known~as,ALT,O
40, p05/d1897,a,a,DIS,O
41, p05/d1897,shoemaker,shoemaker,ROL,shoemaker.n.01
42, p05/d1897,.,.,NIL,O
43, p92/d1901,The,the,DEF,O
