,sentence,word,sense,context,sym_context,sem_context,sns_context
0, p00/d2862,Tom,male.n.02,"['Tom', 'was']","['tom', 'be']","['PER', 'PST']","['male.n.02', 'O']"
1, p00/d2862,carrying,carry.v.01,"['was', 'carrying', 'a']","['be', 'carry', 'a']","['PST', 'EXG', 'DIS']","['O', 'carry.v.01', 'O']"
2, p00/d2862,bucket,bucket.n.01,"['a', 'bucket', 'of']","['a', 'bucket', 'of']","['DIS', 'CON', 'REL']","['O', 'bucket.n.01', 'O']"
3, p00/d2862,water,water.n.06,"['of', 'water', '.']","['of', 'water', '.']","['REL', 'CON', 'NIL']","['O', 'water.n.06', 'O']"
4, p30/d2583,touched,touch.v.01,"[""n't"", 'touched', 'anything']","['not', 'touch', 'entity']","['NOT', 'EXT', 'DIS']","['O', 'touch.v.01', 'entity.n.01']"
5, p30/d2583,anything,entity.n.01,"['touched', 'anything', '.']","['touch', 'entity', '.']","['EXT', 'DIS', 'NIL']","['touch.v.01', 'entity.n.01', 'O']"
6, p30/d0794,Mr,mr.n.01,"['Mr', 'Smith']","['mr', 'smith']","['ROL', 'PER']","['mr.n.01', 'male.n.02']"
7, p30/d0794,Smith,male.n.02,"['Mr', 'Smith', 'teaches']","['mr', 'smith', 'teach']","['ROL', 'PER', 'ENS']","['mr.n.01', 'male.n.02', 'teach.v.01']"
8, p30/d0794,teaches,teach.v.01,"['Smith', 'teaches', 'me']","['smith', 'teach', 'speaker']","['PER', 'ENS', 'PRO']","['male.n.02', 'teach.v.01', 'O']"
9, p30/d0794,English,english.n.01,"['me', 'English', '.']","['speaker', 'english', '.']","['PRO', 'CON', 'NIL']","['O', 'english.n.01', 'O']"
10, p00/d3349,You,person.n.01,"['You', 'can']","['person', 'can']","['AND', 'POS']","['person.n.01', 'O']"
11, p00/d3349,buy,buy.v.01,"['can', 'buy', 'stamps']","['can', 'buy', 'stamp']","['POS', 'EXS', 'CON']","['O', 'buy.v.01', 'stamp.n.04']"
12, p00/d3349,stamps,stamp.n.04,"['buy', 'stamps', 'at']","['buy', 'stamp', 'at']","['EXS', 'CON', 'REL']","['buy.v.01', 'stamp.n.04', 'O']"
13, p00/d3349,post~office,post_office.n.01,"['any', 'post~office', '.']","['any', 'post~office', '.']","['AND', 'CON', 'NIL']","['O', 'post_office.n.01', 'O']"
14, p00/d1522,door,door.n.01,"['The', 'door', 'is']","['the', 'door', 'be']","['DEF', 'CON', 'NOW']","['O', 'door.n.01', 'O']"
15, p00/d1522,opening,open.v.01,"['is', 'opening', 'now']","['be', 'open', 'now']","['NOW', 'EXG', 'NOW']","['O', 'open.v.01', 'O']"
16, p20/d2314,Where,location.n.01,"['Where', 'did']","['location', 'do']","['QUE', 'PST']","['location.n.01', 'O']"
17, p20/d2314,put,put.v.01,"['you', 'put', 'my']","['hearer', 'put', 'speaker']","['PRO', 'EPS', 'HAS']","['O', 'put.v.01', 'O']"
18, p20/d2314,umbrella,umbrella.n.01,"['my', 'umbrella', '?']","['speaker', 'umbrella', '?']","['HAS', 'CON', 'QUE']","['O', 'umbrella.n.01', 'O']"
19, p10/d2133,He,male.n.02,"['He', 'loves']","['male', 'love']","['PRO', 'ENS']","['male.n.02', 'love.v.01']"
20, p10/d2133,loves,love.v.01,"['He', 'loves', 'animals']","['male', 'love', 'animal']","['PRO', 'ENS', 'CON']","['male.n.02', 'love.v.01', 'animal.n.01']"
21, p10/d2133,animals,animal.n.01,"['loves', 'animals', '.']","['love', 'animal', '.']","['ENS', 'CON', 'NIL']","['love.v.01', 'animal.n.01', 'O']"
22, p20/d2435,marvelous,marvelous.a.01,"['a', 'marvelous', 'family']","['a', 'marvelous', 'family']","['DIS', 'IST', 'CON']","['O', 'marvelous.a.01', 'family.n.01']"
23, p20/d2435,family,family.n.01,"['marvelous', 'family', '!']","['marvelous', 'family', '!']","['IST', 'CON', 'EMP']","['marvelous.a.01', 'family.n.01', 'O']"
24, p20/d3528,He,male.n.02,"['He', 'is']","['male', 'be']","['PRO', 'NOW']","['male.n.02', 'O']"
25, p20/d3528,very,very.r.01,"['is', 'very', 'young']","['be', 'very', 'young']","['NOW', 'INT', 'IST']","['O', 'very.r.01', 'young.a.01']"
26, p20/d3528,young,young.a.01,"['very', 'young', '.']","['very', 'young', '.']","['INT', 'IST', 'NIL']","['very.r.01', 'young.a.01', 'O']"
27, p10/d2075,accept,accept.v.02,"['I', 'accept', 'your']","['speaker', 'accept', 'hearer']","['PRO', 'ENS', 'HAS']","['O', 'accept.v.02', 'O']"
